"","X","Species","Presence.Absence","PresenceCount","TrueAbsenceCount","Hour","env_Longitude","env_Latitude","env_Altitude","t","r","u","v","d","pv","vo","w","i10fg","X10u","X10v","X2t","crr","lsrr","skt","Perc_Broadleaf_Wood","Perc_Urban-Suburban","Perc_Coniferous_Wood","Perc_Arable","Perc_Grassland"
"11",3751711,"Bioscatter",1,176,346,8,-1.64,51.1,2000,285.36279296875,27.5593414306641,-2.00324249267578,-0.916275024414062,3.24347347486764e-05,8.50162905408069e-07,5.47051895409822e-05,-0.0265064239501953,3.25890707969666,-0.889443397521973,-0.407796859741211,295.943359375,0,0,298.31640625,12,0,0,50,15
"12",4199261,"Bioscatter",1,263,0,15,-2.13,50.89,3000,276.12890625,73.5746154785156,4.26908874511719,6.40710353851318,1.67329417308792e-05,1.17891602258169e-07,-5.94514422118664e-05,-0.208806037902832,5.56177997589111,-0.642733573913574,1.997483253479,297.72119140625,0,0,301.4189453125,1,27,0,57,0
"13",5128545,"Bioscatter",1,6523,41423,2,-1.43,51.17,0,285.239379882812,84.9485931396484,7.3727560043335,-1.04329299926758,-1.8381979316473e-05,6.90848537487909e-07,1.47083774209023e-05,-0.0437946319580078,6.65460443496704,3.82110023498535,-0.337813377380371,284.86083984375,0,0,283.5869140625,7.5,0.5,0.5,88.5,0
"14",4194336,"Bioscatter",1,428,861,15,-1.01,51.24,1000,288.812744140625,67.0108642578125,-1.08996295928955,0.600123405456543,-5.70835545659065e-05,1.64809534908272e-08,3.39818652719259e-05,-0.322565078735352,3.92921185493469,-0.865389823913574,0.408616065979004,298.85302734375,0,0,303.52734375,2,0,0,82,0
"15",5770024,"Bioscatter",0,0,173,10,-1.22,51.87,1000,284.639892578125,82.5657043457031,1.54214382171631,-2.24434280395508,1.14620197564363e-05,1.72307295542851e-07,-4.53654211014509e-05,0.0515108108520508,4.69187927246094,-1.04174041748047,-1.07942581176758,292.799072265625,0,0,297.751220703125,22,0,0,73,0
"16",691844,"Bioscatter",0,0,356,20,-0.589999999999998,51.24,2000,275.2099609375,34.9434242248535,-2.29597473144531,6.11720943450928,8.19718698039651e-05,4.85659938931349e-07,-1.67620892170817e-05,-0.151528358459473,3.87304735183716,-2.30485725402832,-0.317304611206055,281.185791015625,0,0,279.565673828125,0,91,0,0,0
"17",5033645,"Bioscatter",0,0,353,23,-0.309999999999999,51.03,3000,276.341796875,10.0028886795044,5.69251346588135,1.6734790802002,-6.21168874204159e-06,1.12084262582357e-06,5.0701666623354e-05,0.17080020904541,1.87431287765503,-0.852575302124023,1.2694091796875,285.36865234375,0,0,282.2421875,16.5,18.5,0,4,0
"18",7400126,"Bioscatter",0,0,2180,20,-1.29,51.24,0,281.5341796875,71.612548828125,-0.160037040710449,6.529541015625,1.83302909135818e-05,5.25018549524248e-07,-5.00036403536797e-05,-0.0264625549316406,6.66550922393799,-0.371576309204102,3.79731750488281,280.9609375,0,0,279.799072265625,19,6,0,19,0
"19",1377796,"Bioscatter",0,0,261,2,-0.0999999999999996,51.45,2000,279.34521484375,3.16371631622314,2.33905506134033,-1.58883857727051,-2.28600983973593e-05,5.91813602568436e-07,-1.25347287394106e-05,0.100301742553711,2.18020915985107,-0.752094268798828,1.35662937164307,277.6640625,0,0,276.3974609375,1.5,86.25,0,0.25,0
"20",321541,"Bioscatter",0,0,120,6,-2.9,50.54,2000,276.350341796875,84.9821472167969,5.41409301757812,-0.147750854492188,1.40459887916222e-05,2.37849178574834e-07,-8.40192660689354e-06,0.00482749938964844,3.45080852508545,1.55791854858398,-2.38231658935547,282.74169921875,0,2.38418579101562e-07,282.416015625,0,0,0,0,0
"21",6473229,"Bioscatter",0,0,42,1,-1.43,50.89,0,285.423828125,82.0959625244141,11.7572002410889,4.18002319335938,1.752027310431e-05,-4.97062501381151e-07,0.000195870408788323,0.0245656967163086,13.4931602478027,6.66635322570801,2.67112159729004,285.91943359375,0,0,285.18701171875,0,14,0,0,0
"22",3912323,"Bioscatter",0,0,161,1,-1.71,50.33,3000,273.982177734375,52.4393997192383,-1.29818630218506,-9.48464965820312,-2.94886995106936e-05,2.91830656351522e-06,0.000116315437480807,-0.0297584533691406,9.09768962860107,5.22032070159912,-4.84805393218994,288.890869140625,0,6.19888305664062e-06,288.15966796875,0,0,0,0,0
"23",53540,"Bioscatter",0,0,74,5,-0.589999999999998,52.22,3000,266.43896484375,55.0981903076172,20.9492816925049,-5.61850357055664,-2.46139243245125e-05,4.53013058177021e-07,-1.29036197904497e-05,0.173371315002441,10.867862701416,5.97271347045898,1.85952949523926,283.562744140625,0,0,282.687255859375,5,7,0,62,0.5
